,secs,nsecs,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
0,1653381019.0,685062800.0,1.599049687385559,-1.3232156038284302,1.5460883378982544,-0.017116885632276535,0.0663781464099884,0.6236055493354797,0.7787278294563293
1,1653381019.0,703683200.0,1.5966747999191284,-1.322953224182129,1.5465377569198608,-0.022132346406579018,0.06875685602426529,0.6348190903663635,0.7692772150039673
2,1653381019.0,719510800.0,1.5933469533920288,-1.3213297128677368,1.545742392539978,-0.026412703096866608,0.07048945873975754,0.645485520362854,0.7600540518760681
3,1653381019.0,734488000.0,1.5906994342803955,-1.3210420608520508,1.5460646152496338,-0.029124503955245018,0.07119013369083405,0.6556847095489502,0.7511067986488342
4,1653381019.0,752487600.0,1.587768316268921,-1.321303129196167,1.5470187664031982,-0.03249168395996094,0.07127577066421509,0.6651294827461243,0.7426081895828247
5,1653381019.0,769710900.0,1.5844707489013672,-1.3199855089187622,1.5460776090621948,-0.03391173854470253,0.07012522965669632,0.6741559505462646,0.7344700694084167
6,1653381019.0,786711400.0,1.581586241722107,-1.319489598274231,1.5454481840133667,-0.03158758580684662,0.06755330413579941,0.6809757947921753,0.7284990549087524
7,1653381019.0,802772800.0,1.5789031982421875,-1.3225548267364502,1.547524333000183,-0.0319363959133625,0.0674738809466362,0.688787043094635,0.7211101651191711
8,1653381019.0,819213300.0,1.5771056413650513,-1.3238284587860107,1.5471477508544922,-0.03594830259680748,0.06907396763563156,0.6962404251098633,0.7135725617408752
9,1653381019.0,835585400.0,1.5748426914215088,-1.3244000673294067,1.5463907718658447,-0.039307259023189545,0.06914680451154709,0.7034602165222168,0.706270158290863
10,1653381019.0,851189100.0,1.5713205337524414,-1.3248509168624878,1.5458498001098633,-0.04134984314441681,0.06905170530080795,0.7110424637794495,0.6985275745391846
11,1653381019.0,869302500.0,1.5685886144638062,-1.325135588645935,1.5449403524398804,-0.04079379513859749,0.0681368038058281,0.7180349230766296,0.6914616227149963
12,1653381019.0,885502900.0,1.566220998764038,-1.3271769285202026,1.545643925666809,-0.040436893701553345,0.06745515018701553,0.7246198654174805,0.684646487236023
13,1653381019.0,901538800.0,1.5636287927627563,-1.3286632299423218,1.5456846952438354,-0.04079963266849518,0.06774335354566574,0.7305701375007629,0.6782429814338684
14,1653381019.0,919511200.0,1.5623247623443604,-1.3297300338745117,1.5445808172225952,-0.0412399098277092,0.06593118607997894,0.7371434569358826,0.6712465882301331
15,1653381019.0,934813900.0,1.55923330783844,-1.3327305316925049,1.5465844869613647,-0.043259184807538986,0.06663762778043747,0.7444823980331421,0.6628983020782471
